#	Freq	Err	Trans
    2.99900E+02    2.08359E-01    8.11915E-01
    3.00000E+02    2.08616E-01    8.11707E-01
    3.00100E+02    2.09041E-01    8.11362E-01
    3.00200E+02    2.09455E-01    8.11026E-01
    3.00300E+02    2.10042E-01    8.10550E-01
    3.00400E+02    2.11041E-01    8.09741E-01
    3.00500E+02    2.13032E-01    8.08130E-01
    3.00600E+02    2.19031E-01    8.03297E-01
    3.00700E+02    2.42326E-01    7.84800E-01
    3.00800E+02    2.17339E-01    8.04657E-01
    3.00900E+02    2.14319E-01    8.07091E-01
    3.01000E+02    2.13756E-01    8.07545E-01
    3.01100E+02    2.13943E-01    8.07394E-01
    3.01200E+02    2.14653E-01    8.06822E-01
    3.01300E+02    2.15963E-01    8.05765E-01
    3.01400E+02    2.18142E-01    8.04011E-01
    3.01500E+02    2.22037E-01    8.00886E-01
    3.01600E+02    2.30249E-01    7.94336E-01
    3.01700E+02    2.53885E-01    7.75781E-01
    3.01800E+02    4.19838E-01    6.57153E-01
    3.01900E+02    2.68683E-01    7.64385E-01
    3.02000E+02    2.35242E-01    7.90380E-01
    3.02100E+02    2.25527E-01    7.98095E-01
    3.02200E+02    2.21571E-01    8.01259E-01
    3.02300E+02    2.19752E-01    8.02718E-01
    3.02400E+02    2.18957E-01    8.03356E-01
    3.02500E+02    2.18832E-01    8.03456E-01
    3.02600E+02    2.19057E-01    8.03276E-01
    3.02700E+02    2.19705E-01    8.02756E-01
    3.02800E+02    2.21094E-01    8.01641E-01
    3.02900E+02    2.23949E-01    7.99356E-01
    3.03000E+02    2.30912E-01    7.93809E-01
    3.03100E+02    2.56364E-01    7.73861E-01
    3.03200E+02    2.81557E-01    7.54608E-01
    3.03300E+02    2.35441E-01    7.90222E-01
    3.03400E+02    2.26479E-01    7.97336E-01
    3.03500E+02    2.23447E-01    7.99757E-01
    3.03600E+02    2.22379E-01    8.00612E-01
    3.03700E+02    2.21415E-01    8.01384E-01
    3.03800E+02    2.21153E-01    8.01594E-01
    3.03900E+02    2.21167E-01    8.01583E-01
    3.04000E+02    2.21278E-01    8.01494E-01
    3.04100E+02    2.21500E-01    8.01316E-01
    3.04200E+02    2.21807E-01    8.01070E-01
    3.04300E+02    2.22181E-01    8.00770E-01
    3.04400E+02    2.22626E-01    8.00414E-01
    3.04500E+02    2.23150E-01    7.99995E-01
    3.04600E+02    2.23788E-01    7.99484E-01
    3.04700E+02    2.24643E-01    7.98802E-01
    3.04800E+02    2.26415E-01    7.97387E-01
    3.04900E+02    2.25714E-01    7.97947E-01
    3.05000E+02    2.25381E-01    7.98212E-01
    3.05100E+02    2.25408E-01    7.98191E-01
    3.05200E+02    2.25492E-01    7.98124E-01
    3.05300E+02    2.25676E-01    7.97976E-01
    3.05400E+02    2.25917E-01    7.97784E-01
    3.05500E+02    2.26195E-01    7.97562E-01
    3.05600E+02    2.26506E-01    7.97315E-01
    3.05700E+02    2.26838E-01    7.97050E-01
    3.05800E+02    2.27190E-01    7.96769E-01
    3.05900E+02    2.27576E-01    7.96462E-01
    3.06000E+02    2.27983E-01    7.96138E-01
    3.06100E+02    2.28349E-01    7.95847E-01
    3.06200E+02    2.28756E-01    7.95523E-01
    3.06300E+02    2.29174E-01    7.95190E-01
    3.06400E+02    2.29612E-01    7.94842E-01
