#	Freq	Err	Trans
    2.99900E+02    2.57474E-01    7.73002E-01
    3.00000E+02    2.57801E-01    7.72749E-01
    3.00100E+02    2.58299E-01    7.72364E-01
    3.00200E+02    2.58785E-01    7.71989E-01
    3.00300E+02    2.59445E-01    7.71479E-01
    3.00400E+02    2.60517E-01    7.70653E-01
    3.00500E+02    2.62582E-01    7.69064E-01
    3.00600E+02    2.68654E-01    7.64408E-01
    3.00700E+02    2.92024E-01    7.46751E-01
    3.00800E+02    2.67112E-01    7.65588E-01
    3.00900E+02    2.64167E-01    7.67845E-01
    3.01000E+02    2.63680E-01    7.68219E-01
    3.01100E+02    2.63944E-01    7.68017E-01
    3.01200E+02    2.64730E-01    7.67413E-01
    3.01300E+02    2.66118E-01    7.66349E-01
    3.01400E+02    2.68375E-01    7.64621E-01
    3.01500E+02    2.72348E-01    7.61589E-01
    3.01600E+02    2.80638E-01    7.55301E-01
    3.01700E+02    3.04354E-01    7.37599E-01
    3.01800E+02    4.70388E-01    6.24760E-01
    3.01900E+02    3.19313E-01    7.26648E-01
    3.02000E+02    2.85953E-01    7.51298E-01
    3.02100E+02    2.76321E-01    7.58570E-01
    3.02200E+02    2.72446E-01    7.61515E-01
    3.02300E+02    2.70711E-01    7.62837E-01
    3.02400E+02    2.69999E-01    7.63381E-01
    3.02500E+02    2.69958E-01    7.63412E-01
    3.02600E+02    2.70267E-01    7.63175E-01
    3.02700E+02    2.71001E-01    7.62616E-01
    3.02800E+02    2.72476E-01    7.61492E-01
    3.02900E+02    2.75418E-01    7.59255E-01
    3.03000E+02    2.82468E-01    7.53920E-01
    3.03100E+02    3.08008E-01    7.34909E-01
    3.03200E+02    3.33290E-01    7.16562E-01
    3.03300E+02    2.87264E-01    7.50314E-01
    3.03400E+02    2.78392E-01    7.57000E-01
    3.03500E+02    2.75451E-01    7.59230E-01
    3.03600E+02    2.74475E-01    7.59971E-01
    3.03700E+02    2.73603E-01    7.60634E-01
    3.03800E+02    2.73434E-01    7.60762E-01
    3.03900E+02    2.73543E-01    7.60680E-01
    3.04000E+02    2.73749E-01    7.60523E-01
    3.04100E+02    2.74067E-01    7.60281E-01
    3.04200E+02    2.74471E-01    7.59974E-01
    3.04300E+02    2.74943E-01    7.59615E-01
    3.04400E+02    2.75486E-01    7.59203E-01
    3.04500E+02    2.76109E-01    7.58730E-01
    3.04600E+02    2.76847E-01    7.58171E-01
    3.04700E+02    2.77802E-01    7.57447E-01
    3.04800E+02    2.79675E-01    7.56029E-01
    3.04900E+02    2.79076E-01    7.56482E-01
    3.05000E+02    2.78847E-01    7.56656E-01
    3.05100E+02    2.78976E-01    7.56558E-01
    3.05200E+02    2.79164E-01    7.56416E-01
    3.05300E+02    2.79453E-01    7.56197E-01
    3.05400E+02    2.79799E-01    7.55936E-01
    3.05500E+02    2.80183E-01    7.55645E-01
    3.05600E+02    2.80601E-01    7.55330E-01
    3.05700E+02    2.81041E-01    7.54998E-01
    3.05800E+02    2.81503E-01    7.54649E-01
    3.05900E+02    2.81998E-01    7.54275E-01
    3.06000E+02    2.82517E-01    7.53884E-01
    3.06100E+02    2.82995E-01    7.53524E-01
    3.06200E+02    2.83516E-01    7.53131E-01
    3.06300E+02    2.84049E-01    7.52730E-01
    3.06400E+02    2.84603E-01    7.52313E-01
    3.06500E+02    2.85149E-01    7.51902E-01
