#	Freq	Err	Trans
    5.49900E+02    5.44314E+01    2.29479E-24
    5.50000E+02    5.58761E+01    5.41163E-25
    5.50100E+02    5.73838E+01    1.19819E-25
    5.50200E+02    5.89575E+01    2.48349E-26
    5.50300E+02    6.06002E+01    4.80458E-27
    5.50400E+02    6.23165E+01    8.63555E-28
    5.50500E+02    6.41101E+01    1.43661E-28
    5.50600E+02    6.59848E+01    2.20376E-29
    5.50700E+02    6.79478E+01    3.09497E-30
    5.50800E+02    7.00102E+01    3.93527E-31
    5.50900E+02    7.22058E+01    4.37964E-32
    5.51000E+02    7.47350E+01    3.49129E-33
    5.51100E+02    7.67712E+01    4.55691E-34
    5.51200E+02    7.91838E+01    4.08227E-35
    5.51300E+02    8.17585E+01    3.10994E-36
    5.51400E+02    8.44970E+01    2.01100E-37
    5.51500E+02    8.72930E+01    1.22782E-38
    5.51600E+02    9.02325E+01    6.49400E-40
    5.51700E+02    9.33364E+01    2.91421E-41
    5.51800E+02    9.66087E+01    1.10499E-42
    5.51900E+02    1.00046E+02    3.55360E-44
    5.52000E+02    1.03661E+02    9.56679E-46
    5.52100E+02    1.07466E+02    2.12802E-47
    5.52200E+02    1.11471E+02    3.87871E-49
    5.52300E+02    1.15692E+02    5.69799E-51
    5.52400E+02    1.20150E+02    6.59999E-53
    5.52500E+02    1.24855E+02    5.97292E-55
    5.52600E+02    1.29830E+02    4.12786E-57
    5.52700E+02    1.35090E+02    2.14431E-59
    5.52800E+02    1.40665E+02    8.12487E-62
    5.52900E+02    1.46568E+02    2.21950E-64
    5.53000E+02    1.52833E+02    4.22094E-67
    5.53100E+02    1.59482E+02    5.47089E-70
    5.53200E+02    1.66543E+02    4.68976E-73
    5.53300E+02    1.74057E+02    2.55839E-76
    5.53400E+02    1.82051E+02    8.63877E-80
    5.53500E+02    1.90561E+02    1.73936E-83
    5.53600E+02    1.99635E+02    1.99333E-87
    5.53700E+02    2.09303E+02    1.26125E-91
    5.53800E+02    2.19632E+02    4.12097E-96
    5.53900E+02    2.30667E+02    6.64768E-100
    5.54000E+02    2.42460E+02    5.02384E-100
    5.54100E+02    2.55079E+02    1.66264E-100
    5.54200E+02    2.68575E+02    2.28644E-100
    5.54300E+02    2.83041E+02    1.19398E-100
    5.54400E+02    2.98534E+02    2.23077E-100
    5.54500E+02    3.15137E+02    1.37269E-100
    5.54600E+02    3.32934E+02    2.56230E-100
    5.54700E+02    3.52021E+02    1.31570E-100
    5.54800E+02    3.72481E+02    1.71235E-100
    5.54900E+02    3.94411E+02    5.12116E-100
    5.55000E+02    4.17902E+02    3.21713E-100
    5.55100E+02    4.43043E+02    3.87996E-100
    5.55200E+02    4.69925E+02    8.21013E-100
    5.55300E+02    4.98621E+02    2.82771E-100
    5.55400E+02    5.29194E+02    1.49232E-100
    5.55500E+02    5.61678E+02    1.16458E-100
    5.55600E+02    5.96076E+02    1.34161E-100
    5.55700E+02    6.32348E+02    2.36907E-100
    5.55800E+02    6.70399E+02    7.06991E-100
    5.55900E+02    7.10062E+02    4.20591E-100
    5.56000E+02    7.51061E+02    0.00000E+00
    5.56100E+02    7.93057E+02    0.00000E+00
    5.56200E+02    8.35504E+02    0.00000E+00
    5.56300E+02    8.77652E+02    0.00000E+00
    5.56400E+02    9.18748E+02    0.00000E+00
    5.56500E+02    9.57671E+02    0.00000E+00
    5.56600E+02    9.93072E+02    0.00000E+00
    5.56700E+02    1.02325E+03    0.00000E+00
    5.56800E+02    1.04632E+03    0.00000E+00
    5.56900E+02    1.05959E+03    0.00000E+00
    5.57000E+02    1.05756E+03    0.00000E+00
    5.57100E+02    1.04195E+03    0.00000E+00
    5.57200E+02    1.01735E+03    0.00000E+00
    5.57300E+02    9.86223E+02    0.00000E+00
    5.57400E+02    9.50296E+02    0.00000E+00
    5.57500E+02    9.11144E+02    0.00000E+00
    5.57600E+02    8.70118E+02    0.00000E+00
    5.57700E+02    8.28193E+02    0.00000E+00
    5.57800E+02    7.86119E+02    0.00000E+00
    5.57900E+02    7.44662E+02    4.94066E-100
    5.58000E+02    7.04226E+02    1.44076E-100
    5.58100E+02    6.65127E+02    1.37755E-100
    5.58200E+02    6.27681E+02    2.52202E-100
    5.58300E+02    5.92014E+02    7.78746E-100
    5.58400E+02    5.58210E+02    3.73815E-100
    5.58500E+02    5.26288E+02    2.72971E-100
    5.58600E+02    4.96256E+02    3.01047E-100
    5.58700E+02    4.68062E+02    5.28506E-100
    5.58800E+02    4.41639E+02    1.58011E-100
    5.58900E+02    4.16925E+02    8.54255E-100
    5.59000E+02    3.93825E+02    9.20095E-100
    5.59100E+02    3.72254E+02    2.14817E-100
    5.59200E+02    3.52117E+02    1.19513E-100
    5.59300E+02    3.33322E+02    1.73797E-100
    5.59400E+02    3.15783E+02    7.19968E-100
    5.59500E+02    2.99420E+02    9.19035E-100
    5.59600E+02    2.84131E+02    4.01460E-100
    5.59700E+02    2.69873E+02    6.24566E-100
    5.59800E+02    2.56623E+02    3.54834E-100
    5.59900E+02    2.44096E+02    9.78272E-100
    5.60000E+02    2.32377E+02    1.20229E-100
    5.60100E+02    2.21436E+02    6.78257E-97
    5.60200E+02    2.11193E+02    1.90536E-92
    5.60300E+02    2.01590E+02    2.82232E-88
    5.60400E+02    1.92581E+02    2.30839E-84
    5.60500E+02    1.84119E+02    1.09153E-80
    5.60600E+02    1.76167E+02    3.10153E-77
    5.60700E+02    1.68688E+02    5.48994E-74
    5.60800E+02    1.61652E+02    6.24147E-71
    5.60900E+02    1.55021E+02    4.73235E-68
    5.61000E+02    1.48765E+02    2.46589E-65
    5.61100E+02    1.42862E+02    9.03114E-63
    5.61200E+02    1.37289E+02    2.37776E-60
    5.61300E+02    1.32023E+02    4.60282E-58
    5.61400E+02    1.27035E+02    6.75045E-56
    5.61500E+02    1.22317E+02    7.55529E-54
    5.61600E+02    1.17847E+02    6.60491E-52
    5.61700E+02    1.13609E+02    4.57383E-50
    5.61800E+02    1.09588E+02    2.54975E-48
    5.61900E+02    1.05770E+02    1.16033E-46
    5.62000E+02    1.02139E+02    4.37957E-45
    5.62100E+02    9.86891E+01    1.38002E-43
    5.62200E+02    9.54034E+01    3.68823E-42
    5.62300E+02    9.22755E+01    8.41877E-41
    5.62400E+02    8.92977E+01    1.65395E-39
    5.62500E+02    8.64548E+01    2.83897E-38
    5.62600E+02    8.37471E+01    4.25696E-37
    5.62700E+02    8.11600E+01    5.65806E-36
    5.62800E+02    7.86858E+01    6.71740E-35
    5.62900E+02    7.63215E+01    7.14497E-34
    5.63000E+02    7.40654E+01    6.82040E-33
    5.63100E+02    7.19033E+01    5.92625E-32
    5.63200E+02    6.98322E+01    4.70165E-31
    5.63300E+02    6.78504E+01    3.41167E-30
    5.63400E+02    6.59560E+01    2.26824E-29
    5.63500E+02    6.41305E+01    1.40753E-28
    5.63600E+02    6.23751E+01    8.14414E-28
    5.63700E+02    6.06939E+01    4.37490E-27
    5.63800E+02    5.90801E+01    2.19703E-26
    5.63900E+02    5.75287E+01    1.03654E-25
    5.64000E+02    5.60384E+01    4.60091E-25
    5.64100E+02    5.46043E+01    1.93051E-24
    5.64200E+02    5.32243E+01    7.67326E-24
    5.64300E+02    5.18956E+01    2.89740E-23
    5.64400E+02    5.06166E+01    1.04110E-22
    5.64500E+02    4.93832E+01    3.57401E-22
    5.64600E+02    4.81946E+01    1.17311E-21
    5.64700E+02    4.70482E+01    3.69170E-21
    5.64800E+02    4.59424E+01    1.11547E-20
    5.64900E+02    4.48759E+01    3.24090E-20
    5.65000E+02    4.38453E+01    9.08285E-20
    5.65100E+02    4.28510E+01    2.45497E-19
    5.65200E+02    4.18900E+01    6.41776E-19
    5.65300E+02    4.09619E+01    1.62363E-18
    5.65400E+02    4.00655E+01    3.97906E-18
    5.65500E+02    3.91998E+01    9.45637E-18
    5.65600E+02    3.83682E+01    2.17228E-17
    5.65700E+02    3.76298E+01    4.54551E-17
    5.65800E+02    3.67738E+01    1.06987E-16
    5.65900E+02    3.60087E+01    2.29946E-16
    5.66000E+02    3.52799E+01    4.76559E-16
    5.66100E+02    3.45917E+01    9.48411E-16
    5.66200E+02    3.39915E+01    1.72858E-15
    5.66300E+02    3.39771E+01    1.75363E-15
    5.66400E+02    3.26508E+01    6.60572E-15
    5.66500E+02    3.19495E+01    1.33204E-14
    5.66600E+02    3.13334E+01    2.46643E-14
    5.66700E+02    3.08451E+01    4.01940E-14
    5.66800E+02    3.02060E+01    7.61554E-14
    5.66900E+02    2.96174E+01    1.37186E-13
    5.67000E+02    2.90084E+01    2.52242E-13
    5.67100E+02    2.84547E+01    4.38793E-13
    5.67200E+02    2.79242E+01    7.45876E-13
    5.67300E+02    2.74117E+01    1.24526E-12
    5.67400E+02    2.69155E+01    2.04518E-12
    5.67500E+02    2.64335E+01    3.31177E-12
    5.67600E+02    2.59655E+01    5.28852E-12
    5.67700E+02    2.55111E+01    8.33031E-12
    5.67800E+02    2.50754E+01    1.28795E-11
    5.67900E+02    2.46375E+01    1.99556E-11
    5.68000E+02    2.42167E+01    3.03958E-11
    5.68100E+02    2.38077E+01    4.57540E-11
    5.68200E+02    2.34097E+01    6.81248E-11
    5.68300E+02    2.30216E+01    1.00425E-10
    5.68400E+02    2.26435E+01    1.46576E-10
    5.68500E+02    2.22752E+01    2.11828E-10
    5.68600E+02    2.19154E+01    3.03568E-10
    5.68700E+02    2.15655E+01    4.30746E-10
    5.68800E+02    2.12235E+01    6.06367E-10
    5.68900E+02    2.08902E+01    8.46253E-10
    5.69000E+02    2.05647E+01    1.17180E-09
    5.69100E+02    2.02477E+01    1.60887E-09
    5.69200E+02    1.99374E+01    2.19435E-09
    5.69300E+02    1.96356E+01    2.96730E-09
    5.69400E+02    1.93405E+01    3.98594E-09
    5.69500E+02    1.90515E+01    5.32154E-09
    5.69600E+02    1.87711E+01    7.04402E-09
    5.69700E+02    1.84977E+01    9.25886E-09
    5.69800E+02    1.82339E+01    1.20537E-08
    5.69900E+02    1.79839E+01    1.54769E-08
    5.70000E+02    1.77696E+01    1.91752E-08
    5.70100E+02    1.78632E+01    1.74619E-08
    5.70200E+02    1.72682E+01    3.16594E-08
    5.70300E+02    1.69875E+01    4.19202E-08
    5.70400E+02    1.67404E+01    5.36723E-08
    5.70500E+02    1.65072E+01    6.77641E-08
    5.70600E+02    1.62834E+01    8.47593E-08
    5.70700E+02    1.60702E+01    1.04908E-07
    5.70800E+02    1.58775E+01    1.27205E-07
