#	Freq	Err	Tansmission
    3.12600E+02    1.13112E-01    8.93050E-01
    3.12700E+02    1.13509E-01    8.92696E-01
    3.12800E+02    1.13998E-01    8.92260E-01
    3.12900E+02    1.14774E-01    8.91568E-01
    3.13000E+02    1.15013E-01    8.91354E-01
    3.13100E+02    1.15501E-01    8.90920E-01
    3.13200E+02    1.15962E-01    8.90509E-01
    3.13300E+02    1.16492E-01    8.90037E-01
    3.13400E+02    1.17063E-01    8.89529E-01
    3.13500E+02    1.17698E-01    8.88965E-01
    3.13600E+02    1.18484E-01    8.88266E-01
    3.13700E+02    1.18785E-01    8.87999E-01
    3.13800E+02    1.19368E-01    8.87481E-01
    3.13900E+02    1.20041E-01    8.86884E-01
    3.14000E+02    1.21270E-01    8.85795E-01
    3.14100E+02    1.21237E-01    8.85824E-01
    3.14200E+02    1.21819E-01    8.85309E-01
    3.14300E+02    1.22467E-01    8.84735E-01
    3.14400E+02    1.23153E-01    8.84129E-01
    3.14500E+02    1.23872E-01    8.83493E-01
    3.14600E+02    1.24625E-01    8.82828E-01
    3.14700E+02    1.25420E-01    8.82126E-01
    3.14800E+02    1.26264E-01    8.81382E-01
    3.14900E+02    1.27167E-01    8.80587E-01
    3.15000E+02    1.28148E-01    8.79723E-01
    3.15100E+02    1.29260E-01    8.78746E-01
    3.15200E+02    1.30434E-01    8.77714E-01
    3.15300E+02    1.31833E-01    8.76488E-01
    3.15400E+02    1.33564E-01    8.74971E-01
    3.15500E+02    1.35892E-01    8.72937E-01
    3.15600E+02    1.39496E-01    8.69797E-01
    3.15700E+02    1.46618E-01    8.63624E-01
    3.15800E+02    1.69486E-01    8.44099E-01
    3.15900E+02    2.19946E-01    8.02562E-01
    3.16000E+02    1.60455E-01    8.51757E-01
    3.16100E+02    1.55893E-01    8.55651E-01
    3.16200E+02    1.66107E-01    8.46956E-01
    3.16300E+02    2.35668E-01    7.90043E-01
    3.16400E+02    1.86153E-01    8.30146E-01
    3.16500E+02    1.59938E-01    8.52197E-01
    3.16600E+02    1.55231E-01    8.56218E-01
    3.16700E+02    1.60773E-01    8.51485E-01
    3.16800E+02    1.51535E-01    8.59388E-01
    3.16900E+02    1.50848E-01    8.59978E-01
    3.17000E+02    1.51839E-01    8.59127E-01
    3.17100E+02    1.54988E-01    8.56425E-01
    3.17200E+02    1.73288E-01    8.40896E-01
    3.17300E+02    1.56717E-01    8.54946E-01
    3.17400E+02    1.55910E-01    8.55636E-01
    3.17500E+02    1.56639E-01    8.55012E-01
    3.17600E+02    1.57862E-01    8.53968E-01
    3.17700E+02    1.59343E-01    8.52704E-01
    3.17800E+02    1.60974E-01    8.51315E-01
    3.17900E+02    1.62713E-01    8.49835E-01
    3.18000E+02    1.64587E-01    8.48244E-01
    3.18100E+02    1.66615E-01    8.46526E-01
    3.18200E+02    1.68672E-01    8.44786E-01
    3.18300E+02    1.70880E-01    8.42922E-01
    3.18400E+02    1.73221E-01    8.40951E-01
    3.18500E+02    1.75712E-01    8.38860E-01
    3.18600E+02    1.78246E-01    8.36737E-01
    3.18700E+02    1.80973E-01    8.34458E-01
    3.18800E+02    1.83854E-01    8.32057E-01
    3.18900E+02    1.86899E-01    8.29527E-01
    3.19000E+02    1.90128E-01    8.26854E-01
    3.19100E+02    1.93573E-01    8.24010E-01
    3.19200E+02    1.97324E-01    8.20924E-01
    3.19300E+02    2.01269E-01    8.17693E-01
    3.19400E+02    2.05650E-01    8.14118E-01
    3.19500E+02    2.10243E-01    8.10387E-01
    3.19600E+02    2.15683E-01    8.05991E-01
    3.19700E+02    2.22451E-01    8.00554E-01
    3.19800E+02    2.32359E-01    7.92662E-01
    3.19900E+02    2.53900E-01    7.75769E-01
    3.20000E+02    3.95494E-01    6.73347E-01
    3.20100E+02    2.62903E-01    7.68816E-01
    3.20200E+02    2.53889E-01    7.75778E-01
    3.20300E+02    2.55413E-01    7.74597E-01
    3.20400E+02    2.59936E-01    7.71101E-01
    3.20500E+02    2.65702E-01    7.66667E-01
    3.20600E+02    2.72361E-01    7.61580E-01
    3.20700E+02    2.79508E-01    7.56156E-01
    3.20800E+02    2.87120E-01    7.50422E-01
    3.20900E+02    2.95070E-01    7.44479E-01
    3.21000E+02    3.03299E-01    7.38378E-01
    3.21100E+02    3.11789E-01    7.32136E-01
    3.21200E+02    3.20253E-01    7.25966E-01
    3.21300E+02    3.28913E-01    7.19706E-01
    3.21400E+02    3.37821E-01    7.13323E-01
    3.21500E+02    3.47151E-01    7.06698E-01
    3.21600E+02    3.56791E-01    6.99919E-01
    3.21700E+02    3.67120E-01    6.92726E-01
    3.21800E+02    3.78215E-01    6.85083E-01
    3.21900E+02    3.90341E-01    6.76826E-01
    3.22000E+02    4.05867E-01    6.66399E-01
    3.22100E+02    4.17793E-01    6.58498E-01
