#	Freq	Err	Trans
    2.99900E+02    1.12502E-01    8.93595E-01
    3.00000E+02    1.12619E-01    8.93491E-01
    3.00100E+02    1.12901E-01    8.93239E-01
    3.00200E+02    1.13173E-01    8.92996E-01
    3.00300E+02    1.13616E-01    8.92601E-01
    3.00400E+02    1.14470E-01    8.91839E-01
    3.00500E+02    1.16316E-01    8.90194E-01
    3.00600E+02    1.22168E-01    8.84999E-01
    3.00700E+02    1.45317E-01    8.64748E-01
    3.00800E+02    1.20180E-01    8.86761E-01
    3.00900E+02    1.17011E-01    8.89576E-01
    3.01000E+02    1.16299E-01    8.90209E-01
    3.01100E+02    1.16334E-01    8.90178E-01
    3.01200E+02    1.16892E-01    8.89681E-01
    3.01300E+02    1.18049E-01    8.88653E-01
    3.01400E+02    1.20074E-01    8.86855E-01
    3.01500E+02    1.23815E-01    8.83544E-01
    3.01600E+02    1.31870E-01    8.76455E-01
    3.01700E+02    1.55349E-01    8.56116E-01
    3.01800E+02    3.21143E-01    7.25320E-01
    3.01900E+02    1.69829E-01    8.43809E-01
    3.02000E+02    1.36227E-01    8.72645E-01
    3.02100E+02    1.26350E-01    8.81306E-01
    3.02200E+02    1.22231E-01    8.84944E-01
    3.02300E+02    1.20249E-01    8.86700E-01
    3.02400E+02    1.19288E-01    8.87552E-01
    3.02500E+02    1.18998E-01    8.87809E-01
    3.02600E+02    1.19054E-01    8.87760E-01
    3.02700E+02    1.19533E-01    8.87335E-01
    3.02800E+02    1.20752E-01    8.86254E-01
    3.02900E+02    1.23435E-01    8.83879E-01
    3.03000E+02    1.30225E-01    8.77897E-01
    3.03100E+02    1.55502E-01    8.55986E-01
    3.03200E+02    1.80520E-01    8.34836E-01
    3.03300E+02    1.34227E-01    8.74392E-01
    3.03400E+02    1.25084E-01    8.82422E-01
    3.03500E+02    1.21873E-01    8.85260E-01
    3.03600E+02    1.20622E-01    8.86369E-01
    3.03700E+02    1.19476E-01    8.87385E-01
    3.03800E+02    1.19029E-01    8.87782E-01
    3.03900E+02    1.18856E-01    8.87936E-01
    3.04000E+02    1.18778E-01    8.88005E-01
    3.04100E+02    1.18809E-01    8.87977E-01
    3.04200E+02    1.18924E-01    8.87875E-01
    3.04300E+02    1.19106E-01    8.87714E-01
    3.04400E+02    1.19356E-01    8.87492E-01
    3.04500E+02    1.19684E-01    8.87201E-01
    3.04600E+02    1.20124E-01    8.86810E-01
    3.04700E+02    1.20779E-01    8.86229E-01
    3.04800E+02    1.22350E-01    8.84839E-01
    3.04900E+02    1.21446E-01    8.85639E-01
    3.05000E+02    1.20911E-01    8.86113E-01
    3.05100E+02    1.20733E-01    8.86271E-01
    3.05200E+02    1.20611E-01    8.86378E-01
    3.05300E+02    1.20588E-01    8.86399E-01
    3.05400E+02    1.20621E-01    8.86370E-01
