#	Freq	Err	Trans
    5.49900E+02    7.25595E+01    3.07485E-32
    5.50000E+02    7.44856E+01    4.48033E-33
    5.50100E+02    7.64958E+01    6.00226E-34
    5.50200E+02    7.85938E+01    7.36442E-35
    5.50300E+02    8.07837E+01    8.24308E-36
    5.50400E+02    8.30715E+01    8.36593E-37
    5.50500E+02    8.54621E+01    7.66060E-38
    5.50600E+02    8.79604E+01    6.29909E-39
    5.50700E+02    9.05752E+01    4.61010E-40
    5.50800E+02    9.33192E+01    2.96466E-41
    5.50900E+02    9.62279E+01    1.61719E-42
    5.51000E+02    9.95033E+01    6.11321E-44
    5.51100E+02    1.02321E+02    3.65260E-45
    5.51200E+02    1.05550E+02    1.44575E-46
    5.51300E+02    1.08985E+02    4.66221E-48
    5.51400E+02    1.12621E+02    1.22887E-49
    5.51500E+02    1.16359E+02    2.92340E-51
    5.51600E+02    1.20289E+02    5.74510E-53
    5.51700E+02    1.24430E+02    9.13667E-55
    5.51800E+02    1.28794E+02    1.16248E-56
    5.51900E+02    1.33378E+02    1.18805E-58
    5.52000E+02    1.38198E+02    9.58136E-61
    5.52100E+02    1.43272E+02    5.99209E-63
    5.52200E+02    1.48612E+02    2.87373E-65
    5.52300E+02    1.54240E+02    1.03393E-67
    5.52400E+02    1.60184E+02    2.70903E-70
    5.52500E+02    1.66458E+02    5.10841E-73
    5.52600E+02    1.73091E+02    6.72445E-76
    5.52700E+02    1.80104E+02    6.05102E-79
    5.52800E+02    1.87538E+02    3.57567E-82
    5.52900E+02    1.95409E+02    1.36453E-85
    5.53000E+02    2.03762E+02    3.21467E-89
    5.53100E+02    2.12627E+02    4.54278E-93
    5.53200E+02    2.22043E+02    3.69942E-97
    5.53300E+02    2.32060E+02    1.64972E-100
    5.53400E+02    2.42718E+02    3.87930E-100
    5.53500E+02    2.54066E+02    4.57628E-100
    5.53600E+02    2.66165E+02    2.54668E-100
    5.53700E+02    2.79056E+02    6.42057E-100
    5.53800E+02    2.92828E+02    6.70642E-100
    5.53900E+02    3.07541E+02    2.73345E-100
    5.54000E+02    3.23265E+02    4.05378E-100
    5.54100E+02    3.40090E+02    1.99929E-100
    5.54200E+02    3.58086E+02    3.05746E-100
    5.54300E+02    3.77373E+02    1.28580E-100
    5.54400E+02    3.98030E+02    1.37334E-100
    5.54500E+02    4.20168E+02    3.33634E-100
    5.54600E+02    4.43897E+02    1.65197E-100
    5.54700E+02    4.69347E+02    1.46349E-100
    5.54800E+02    4.96626E+02    2.07939E-100
    5.54900E+02    5.25867E+02    4.15874E-100
    5.55000E+02    5.57188E+02    1.03856E-100
    5.55100E+02    5.90709E+02    2.87243E-100
    5.55200E+02    6.26551E+02    7.80358E-100
    5.55300E+02    6.64814E+02    1.88412E-100
    5.55400E+02    7.05577E+02    3.73067E-100
    5.55500E+02    7.48889E+02    0.00000E+00
    5.55600E+02    7.94753E+02    0.00000E+00
    5.55700E+02    8.43116E+02    0.00000E+00
    5.55800E+02    8.93850E+02    0.00000E+00
    5.55900E+02    9.46735E+02    0.00000E+00
    5.56000E+02    1.00140E+03    0.00000E+00
    5.56100E+02    1.05739E+03    0.00000E+00
    5.56200E+02    1.11399E+03    0.00000E+00
    5.56300E+02    1.17019E+03    0.00000E+00
    5.56400E+02    1.22498E+03    0.00000E+00
    5.56500E+02    1.27688E+03    0.00000E+00
    5.56600E+02    1.32408E+03    0.00000E+00
    5.56700E+02    1.36431E+03    0.00000E+00
    5.56800E+02    1.39507E+03    0.00000E+00
    5.56900E+02    1.41276E+03    0.00000E+00
    5.57000E+02    1.41006E+03    0.00000E+00
    5.57100E+02    1.38926E+03    0.00000E+00
    5.57200E+02    1.35645E+03    0.00000E+00
    5.57300E+02    1.31495E+03    0.00000E+00
    5.57400E+02    1.26705E+03    0.00000E+00
    5.57500E+02    1.21484E+03    0.00000E+00
    5.57600E+02    1.16014E+03    0.00000E+00
    5.57700E+02    1.10424E+03    0.00000E+00
    5.57800E+02    1.04814E+03    0.00000E+00
    5.57900E+02    9.92861E+02    0.00000E+00
    5.58000E+02    9.38939E+02    0.00000E+00
    5.58100E+02    8.86817E+02    0.00000E+00
    5.58200E+02    8.36891E+02    0.00000E+00
    5.58300E+02    7.89336E+02    0.00000E+00
    5.58400E+02    7.44264E+02    4.94066E-100
    5.58500E+02    7.01701E+02    1.79886E-100
    5.58600E+02    6.61659E+02    4.41574E-100
    5.58700E+02    6.24068E+02    9.35180E-100
    5.58800E+02    5.88836E+02    1.86969E-100
    5.58900E+02    5.55885E+02    3.82252E-100
    5.59000E+02    5.25084E+02    9.09573E-100
    5.59100E+02    4.96323E+02    2.81722E-100
    5.59200E+02    4.69473E+02    1.28983E-100
    5.59300E+02    4.44412E+02    9.86680E-100
    5.59400E+02    4.21025E+02    1.41625E-100
    5.59500E+02    3.99205E+02    4.24101E-100
    5.59600E+02    3.78820E+02    3.02450E-100
    5.59700E+02    3.59805E+02    5.48135E-100
    5.59800E+02    3.42107E+02    2.66071E-100
    5.59900E+02    3.25422E+02    4.68970E-100
    5.60000E+02    3.09812E+02    2.81989E-100
    5.60100E+02    2.95229E+02    6.07663E-100
    5.60200E+02    2.81573E+02    5.18085E-100
    5.60300E+02    2.68769E+02    1.88319E-100
    5.60400E+02    2.56757E+02    3.10231E-100
    5.60500E+02    2.45476E+02    2.46172E-100
    5.60600E+02    2.34873E+02    9.90311E-100
    5.60700E+02    2.24902E+02    2.12008E-98
    5.60800E+02    2.15521E+02    2.51536E-94
    5.60900E+02    2.06679E+02    1.73894E-90
    5.61000E+02    1.98338E+02    7.29100E-87
    5.61100E+02    1.90467E+02    1.91042E-83
    5.61200E+02    1.83036E+02    3.22367E-80
    5.61300E+02    1.76015E+02    3.60983E-77
    5.61400E+02    1.69365E+02    2.79191E-74
    5.61500E+02    1.63074E+02    1.50604E-71
    5.61600E+02    1.57113E+02    5.84299E-69
    5.61700E+02    1.51463E+02    1.66177E-66
    5.61800E+02    1.46102E+02    3.53855E-64
    5.61900E+02    1.41011E+02    5.74945E-62
    5.62000E+02    1.36170E+02    7.27866E-60
    5.62100E+02    1.31570E+02    7.24467E-58
    5.62200E+02    1.27189E+02    5.78864E-56
    5.62300E+02    1.23018E+02    3.74827E-54
    5.62400E+02    1.19048E+02    1.98706E-52
    5.62500E+02    1.15257E+02    8.79854E-51
    5.62600E+02    1.11647E+02    3.25361E-49
    5.62700E+02    1.08197E+02    1.02466E-47
    5.62800E+02    1.04898E+02    2.77630E-46
    5.62900E+02    1.01746E+02    6.49134E-45
    5.63000E+02    9.87376E+01    1.31459E-43
    5.63100E+02    9.58547E+01    2.34875E-42
    5.63200E+02    9.30932E+01    3.71652E-41
    5.63300E+02    9.04502E+01    5.22369E-40
    5.63400E+02    8.79219E+01    6.54617E-39
    5.63500E+02    8.54886E+01    7.46022E-38
    5.63600E+02    8.31498E+01    7.73558E-37
    5.63700E+02    8.09085E+01    7.27563E-36
    5.63800E+02    7.87569E+01    6.25649E-35
    5.63900E+02    7.66884E+01    4.95062E-34
    5.64000E+02    7.47012E+01    3.61159E-33
    5.64100E+02    7.27889E+01    2.44436E-32
    5.64200E+02    7.09489E+01    1.53919E-31
    5.64300E+02    6.91771E+01    9.05226E-31
    5.64400E+02    6.74715E+01    4.98325E-30
    5.64500E+02    6.58270E+01    2.58054E-29
    5.64600E+02    6.42421E+01    1.25900E-28
    5.64700E+02    6.27133E+01    5.80711E-28
    5.64800E+02    6.12387E+01    2.53734E-27
    5.64900E+02    5.98163E+01    1.05226E-26
    5.65000E+02    5.84419E+01    4.15916E-26
    5.65100E+02    5.71158E+01    1.56655E-25
    5.65200E+02    5.58340E+01    5.64437E-25
    5.65300E+02    5.45957E+01    1.94709E-24
    5.65400E+02    5.33995E+01    6.44011E-24
    5.65500E+02    5.22438E+01    2.04558E-23
    5.65600E+02    5.11313E+01    6.22255E-23
    5.65700E+02    5.01213E+01    1.70835E-22
    5.65800E+02    4.90020E+01    5.23219E-22
    5.65900E+02    4.79821E+01    1.45093E-21
    5.66000E+02    4.70065E+01    3.84884E-21
    5.66100E+02    4.60790E+01    9.73068E-21
    5.66200E+02    4.52467E+01    2.23678E-20
    5.66300E+02    4.50072E+01    2.84193E-20
    5.66400E+02    4.34627E+01    1.33171E-19
    5.66500E+02    4.25495E+01    3.31890E-19
    5.66600E+02    4.17276E+01    7.54969E-19
    5.66700E+02    4.10397E+01    1.50206E-18
    5.66800E+02    4.02066E+01    3.45545E-18
    5.66900E+02    3.94297E+01    7.51443E-18
    5.67000E+02    3.86376E+01    1.65921E-17
    5.67100E+02    3.79059E+01    3.44884E-17
    5.67200E+02    3.72023E+01    6.97004E-17
    5.67300E+02    3.65215E+01    1.37696E-16
    5.67400E+02    3.58618E+01    2.66331E-16
    5.67500E+02    3.52205E+01    5.05747E-16
    5.67600E+02    3.45974E+01    9.43069E-16
    5.67700E+02    3.39922E+01    1.72728E-15
    5.67800E+02    3.34094E+01    3.09358E-15
    5.67900E+02    3.28285E+01    5.53032E-15
    5.68000E+02    3.22684E+01    9.68266E-15
    5.68100E+02    3.17237E+01    1.66949E-14
    5.68200E+02    3.11933E+01    2.83736E-14
    5.68300E+02    3.06762E+01    4.75873E-14
    5.68400E+02    3.01723E+01    7.87671E-14
    5.68500E+02    2.96815E+01    1.28672E-13
    5.68600E+02    2.92019E+01    2.07864E-13
    5.68700E+02    2.87354E+01    3.31403E-13
    5.68800E+02    2.82794E+01    5.22874E-13
    5.68900E+02    2.78351E+01    8.15426E-13
    5.69000E+02    2.74011E+01    1.25856E-12
    5.69100E+02    2.69783E+01    1.92080E-12
    5.69200E+02    2.65644E+01    2.90557E-12
    5.69300E+02    2.61616E+01    4.34677E-12
    5.69400E+02    2.57679E+01    6.44359E-12
    5.69500E+02    2.53824E+01    9.47453E-12
    5.69600E+02    2.50077E+01    1.37812E-11
    5.69700E+02    2.46423E+01    1.98606E-11
    5.69800E+02    2.42885E+01    2.82913E-11
    5.69900E+02    2.39505E+01    3.96688E-11
    5.70000E+02    2.36502E+01    5.35632E-11
    5.70100E+02    2.36597E+01    5.30533E-11
    5.70200E+02    2.29822E+01    1.04463E-10
    5.70300E+02    2.26209E+01    1.49919E-10
    5.70400E+02    2.22950E+01    2.07680E-10
    5.70500E+02    2.19849E+01    2.83202E-10
    5.70600E+02    2.16856E+01    3.82019E-10
    5.70700E+02    2.13983E+01    5.09160E-10
    5.70800E+02    2.11333E+01    6.63645E-10
    5.70900E+02    2.09306E+01    8.12773E-10
    5.71000E+02    2.14278E+01    4.94337E-10
    5.71100E+02    2.03780E+01    1.41233E-09
    5.71200E+02    2.00310E+01    1.99829E-09
    5.71300E+02    1.97446E+01    2.66093E-09
    5.71400E+02    1.94780E+01    3.47375E-09
    5.71500E+02    1.92208E+01    4.49281E-09
    5.71600E+02    1.89720E+01    5.76176E-09
    5.71700E+02    1.87286E+01    7.34989E-09
    5.71800E+02    1.84909E+01    9.32152E-09
    5.71900E+02    1.82578E+01    1.17688E-08
    5.72000E+02    1.80300E+01    1.47793E-08
    5.72100E+02    1.78076E+01    1.84615E-08
    5.72200E+02    1.75884E+01    2.29854E-08
    5.72300E+02    1.73746E+01    2.84650E-08
    5.72400E+02    1.71653E+01    3.50923E-08
    5.72500E+02    1.69609E+01    4.30521E-08
    5.72600E+02    1.67614E+01    5.25565E-08
    5.72700E+02    1.65718E+01    6.35288E-08
    5.72800E+02    1.64062E+01    7.49697E-08
    5.72900E+02    1.62977E+01    8.35612E-08
    5.73000E+02    1.60076E+01    1.11684E-07
    5.73100E+02    1.58080E+01    1.36362E-07
    5.73200E+02    1.56225E+01    1.64149E-07
    5.73300E+02    1.54444E+01    1.96150E-07
    5.73400E+02    1.52736E+01    2.32674E-07
    5.73500E+02    1.51188E+01    2.71639E-07
    5.73600E+02    1.51298E+01    2.68660E-07
    5.73700E+02    1.47849E+01    3.79331E-07
    5.73800E+02    1.46021E+01    4.55395E-07
    5.73900E+02    1.44361E+01    5.37654E-07
    5.74000E+02    1.42766E+01    6.30609E-07
    5.74100E+02    1.41206E+01    7.37058E-07
    5.74200E+02    1.39685E+01    8.58136E-07
    5.74300E+02    1.38199E+01    9.95620E-07
    5.74400E+02    1.36779E+01    1.14757E-06
    5.74500E+02    1.35597E+01    1.29149E-06
    5.74600E+02    1.34069E+01    1.50467E-06
    5.74700E+02    1.32485E+01    1.76306E-06
    5.74800E+02    1.31059E+01    2.03319E-06
