#	Freq	Err	Trans
    2.99900E+02    1.60035E-01    8.52114E-01
    3.00000E+02    1.60222E-01    8.51955E-01
    3.00100E+02    1.60575E-01    8.51654E-01
    3.00200E+02    1.60918E-01    8.51362E-01
    3.00300E+02    1.61433E-01    8.50924E-01
    3.00400E+02    1.62359E-01    8.50136E-01
    3.00500E+02    1.64277E-01    8.48507E-01
    3.00600E+02    1.70202E-01    8.43494E-01
    3.00700E+02    1.93424E-01    8.24133E-01
    3.00800E+02    1.68362E-01    8.45048E-01
    3.00900E+02    1.65267E-01    8.47668E-01
    3.01000E+02    1.64629E-01    8.48208E-01
    3.01100E+02    1.64740E-01    8.48114E-01
    3.01200E+02    1.65373E-01    8.47577E-01
    3.01300E+02    1.66607E-01    8.46533E-01
    3.01400E+02    1.68708E-01    8.44755E-01
    3.01500E+02    1.72526E-01    8.41536E-01
    3.01600E+02    1.80659E-01    8.34720E-01
    3.01700E+02    2.04217E-01    8.15286E-01
    3.01800E+02    3.70090E-01    6.90672E-01
    3.01900E+02    2.18855E-01    8.03438E-01
    3.02000E+02    1.85333E-01    8.30828E-01
    3.02100E+02    1.75537E-01    8.39006E-01
    3.02200E+02    1.71499E-01    8.42401E-01
    3.02300E+02    1.69599E-01    8.44004E-01
    3.02400E+02    1.68720E-01    8.44745E-01
    3.02500E+02    1.68512E-01    8.44921E-01
    3.02600E+02    1.68652E-01    8.44802E-01
    3.02700E+02    1.69216E-01    8.44327E-01
    3.02800E+02    1.70519E-01    8.43227E-01
    3.02900E+02    1.73288E-01    8.40895E-01
    3.03000E+02    1.80165E-01    8.35133E-01
    3.03100E+02    2.05528E-01    8.14217E-01
    3.03200E+02    2.30634E-01    7.94030E-01
    3.03300E+02    1.84429E-01    8.31579E-01
    3.03400E+02    1.75376E-01    8.39141E-01
    3.03500E+02    1.72255E-01    8.41765E-01
    3.03600E+02    1.71094E-01    8.42742E-01
    3.03700E+02    1.70039E-01    8.43632E-01
